time,angle
2415014614,4955
2415066466,4950
2415099424,4945
2415127436,4940
2415150723,4935
2415171282,4930
2415189331,4925
2415206405,4920
2415222151,4915
2415236768,4910
2415249910,4905
2415262742,4900
2415274646,4895
2415286232,4890
2415297003,4885
2415307429,4880
2415317325,4875
2415326632,4870
2415335485,4865
2415344301,4860
2415352724,4855
2415360915,4850
2415368698,4845
2415376309,4840
2415383707,4835
2415390781,4830
2415397673,4825
2415404567,4820
2415411205,4815
2415417566,4810
2415423740,4805
2415429923,4800
2415435936,4795
2415441761,4790
2415447400,4785
2415453092,4780
2415458703,4775
2415464037,4770
2415469231,4765
2415474432,4760
2415479507,4755
2415484573,4750
2415489364,4745
2415494298,4740
2415499015,4735
2415503769,4730
2415508248,4725
2415512958,4720
2415517319,4715
2415521894,4710
2415526149,4705
2415530680,4700
2415534953,4695
2415539260,4690
2415543293,4685
2415547600,4680
2415551649,4675
2415555735,4670
2415559542,4665
2415563672,4660
2415567633,4655
2415571716,4650
2415575838,4645
2415579342,4640
2415582810,4635
2415586716,4630
2415590437,4625
2415594342,4620
2415598123,4615
2415601852,4610
2415605392,4605
2415609118,4600
2415612675,4595
2415616270,4590
2415619676,4585
2415623314,4580
2415626827,4575
2415630287,4570
2415633650,4565
2415637108,4560
2415640531,4555
2415643902,4550
2415647175,4545
2415650545,4540
2415653836,4535
2415657160,4530
2415660433,4525
2415663715,4520
2415666962,4515
2415670107,4510
2415673201,4505
2415676393,4500
2415679549,4495
2415682698,4490
2415685746,4485
2415688803,4480
2415691872,4475
2415694929,4470
2415697888,4465
2415700992,4460
2415704013,4455
2415706940,4450
2415709853,4445
2415712866,4440
2415715842,4435
2415718723,4430
2415721593,4425
2415724518,4420
2415727449,4415
2415730284,4410
2415733111,4405
2415735945,4400
2415738744,4395
2415741578,4390
2415744315,4385
2415747105,4380
2415749859,4375
2415752650,4370
2415755297,4365
2415758133,4360
2415760752,4355
2415763541,4350
2415766144,4345
2415768979,4340
2415771644,4335
2415774345,4330
2415776904,4325
2415779649,4320
2415782268,4315
2415784924,4310
2415787394,4305
2415790096,4300
2415792759,4295
2415795459,4290
2415798240,4285
2415800585,4280
2415802937,4275
2415805592,4270
2415808151,4265
2415810851,4260
2415813471,4255
2415816082,4250
2415818552,4245
2415821163,4240
2415823694,4235
2415826260,4230
2415828687,4225
2415831297,4220
2415833827,4215
2415836304,4210
2415838728,4205
2415841252,4200
2415843738,4195
2415846259,4190
2415848639,4185
2415851117,4180
2415853558,4175
2415856036,4170
2415858459,4165
2415860937,4160
2415863378,4155
2415865723,4150
2415868101,4145
2415872932,4135
2415875319,4130
2415877654,4125
2415880042,4120
2415882394,4115
2415884738,4110
2415887072,4105
2415889504,4100
2415891858,4095
2415894201,4090
2415896492,4085
2415898835,4080
2415901188,4075
2415903484,4070
2415905775,4065
2415908163,4060
2415910516,4055
2415912813,4050
2415915059,4045
2415917359,4040
2415919667,4035
2415922013,4030
2415924212,4025
2415926558,4020
2415928817,4015
2415931115,4010
2415933317,4005
2415935705,4000
2415937925,3995
2415940221,3990
2415942425,3985
2415944812,3980
2415947076,3975
2415949420,3970
2415951574,3965
2415953964,3960
2415956227,3955
2415958529,3950
2415960682,3945
2415963027,3940
2415965335,3935
2415967722,3930
2415970146,3925
2415972222,3920
2415974351,3915
