time,shaftAngle
2715970954,3970
2716004564,3965
2716029489,3960
2716048346,3955
2716064701,3950
2716078324,3945
2716091867,3940
2716103900,3935
2716115525,3930
2716126606,3925
2716135551,3920
2716144194,3915
2716153408,3910
2716162034,3905
2716170848,3900
2716178999,3895
2716186921,3890
2716194297,3885
2716201907,3880
2716209031,3875
2716216059,3870
2716222677,3865
2716229571,3860
2716236163,3855
2716242565,3850
2716248739,3845
2716254918,3840
2716261062,3835
2716267064,3830
2716272745,3825
2716278525,3820
2716284176,3815
2716289911,3810
2716295413,3805
2716300924,3800
2716306310,3795
2716311553,3790
2716316609,3785
2716321807,3780
2716326926,3775
2716331990,3770
2716336957,3765
2716341889,3760
2716346782,3755
2716351581,3750
2716356279,3745
2716361122,3740
2716365837,3735
2716370455,3730
2716374978,3725
2716379594,3720
2716384178,3715
2716388662,3710
2716393048,3705
2716397533,3700
2716402026,3695
2716406377,3690
2716410587,3685
2716414892,3680
2716419118,3675
2716423380,3670
2716427453,3665
2716431715,3660
2716435807,3655
2716439934,3650
2716443875,3645
2716448047,3640
2716451963,3635
2716456044,3630
2716459895,3625
2716464068,3620
2716467981,3615
2716471975,3610
2716475738,3605
2716479775,3600
2716483555,3595
2716487415,3590
2716491087,3585
2716495037,3580
2716498860,3575
2716502810,3570
2716506795,3565
2716510209,3560
2716513630,3555
2716517445,3550
2716521163,3545
2716525068,3540
2716528802,3535
2716532528,3530
2716536113,3525
2716539883,3520
2716543482,3515
2716547119,3510
2716550615,3505
2716554297,3500
2716557943,3495
2716561489,3490
2716564938,3485
2716568490,3480
2716572087,3475
2716575590,3470
2716578994,3465
2716582497,3460
2716585965,3455
2716589467,3450
2716592917,3445
2716596421,3440
2716599841,3435
2716603211,3430
2716606526,3425
2716609940,3420
2716613318,3415
2716616686,3410
2716620003,3405
2716623328,3400
2716626660,3395
2716629939,3390
2716633210,3385
2716636580,3380
2716639868,3375
2716643150,3370
2716646332,3365
2716649610,3360
2716652898,3355
2716656134,3350
2716659271,3345
2716662551,3340
2716665841,3335
2716669031,3330
2716672124,3325
2716675360,3320
2716678470,3315
2716681705,3310
2716684753,3305
2716687944,3300
2716691055,3295
2716694199,3290
2716697202,3285
2716700396,3280
2716703414,3275
2716706560,3270
2716709563,3265
2716712799,3260
2716715864,3255
2716718965,3250
2716721879,3245
2716725070,3240
2716728090,3235
2716731148,3230
2716734018,3225
2716737119,3220
2716740184,3215
2716743375,3210
2716746555,3205
2716749303,3200
2716752053,3195
2716755109,3190
2716758114,3185
2716761260,3180
2716764325,3175
2716767382,3170
2716770296,3165
2716773352,3160
2716776329,3155
2716779297,3150
2716782167,3145
2716785224,3140
2716788244,3135
2716791211,3130
2716794081,3125
2716797048,3120
2716799981,3115
2716802949,3110
2716805817,3105
2716808740,3100
2716811673,3095
2716814638,3090
2716817508,3085
2716820475,3080
2716823407,3075
2716826241,3070
2716829065,3065
2716831943,3060
2716834831,3055
2716837753,3050
2716840578,3045
2716843457,3040
2716846301,3035
2716849134,3030
2716851958,3025
2716854883,3020
2716857725,3015
2716860558,3010
2716863338,3005
2716866171,3000
2716869059,2995
2716871847,2990
2716874629,2985
2716877506,2980
2716880349,2975
2716883139,2970
2716885874,2965
2716888707,2960
2716891460,2955
2716894293,2950
2716897029,2945
2716899818,2940
2716902573,2935
2716905405,2930
2716908052,2925
2716910931,2920
2716913594,2915
2716916427,2910
2716919073,2905
2716921953,2900
2716924704,2895
2716927492,2890
2716930139,2885
2716932973,2880
2716935681,2875
2716938424,2870
2716941026,2865
2716943860,2860
2716946613,2855
2716949490,2850
2716952405,2845
2716954882,2840
2716957367,2835
2716960201,2830
