#,Angle,Time (µs),Angular Velocity (rad/s),Angular Acceleration (rad/s²)
C.1,4955,2415014614,0.03580974787273856,0.000014827963220241844
C.1,4950,2415066466,1.682991255876658,31.766981177272225
C.1,4945,2415099424,2.6478081983044017,29.274135033307353
C.1,4940,2415127436,3.1153242396014735,16.68984868260288
C.1,4935,2415150723,3.747432584691737,27.144258388382514
C.1,4930,2415171282,4.2446842064164825,24.186566551133097
C.1,4925,2415189331,4.834974934883732,32.70489935549059
C.1,4920,2415206405,5.111073128717142,16.170680205775447
C.1,4915,2415222151,5.542135310537056,27.375980046990577
C.1,4910,2415236768,5.970203365924367,29.28563011475072
C.1,4905,2415249910,6.640272606887573,50.98685443335913
C.1,4900,2415262742,6.8006906639429925,12.501407189480977
C.1,4895,2415274646,7.33085203290629,44.53640532285768
C.1,4890,2415286232,7.5320613326183725,17.366588961857605
C.1,4885,2415297003,8.101983344138565,52.91263685082099
C.1,4880,2415307429,8.370080817160606,25.71431738174182
C.1,4875,2415317325,8.818357174587355,45.29874266640556
C.1,4870,2415326632,9.376433071850917,59.96302753449681
C.1,4865,2415335485,9.857275793484296,54.3140993599209
C.1,4860,2415344301,9.898645939169292,4.692620880784404
C.1,4855,2415352724,10.360496568884777,54.83208235966819
C.1,4850,2415360915,10.653944890699117,35.82570160106705
C.1,4845,2415368698,11.212445406619102,71.75902812796923
C.1,4840,2415376309,11.465834003378857,33.29241844169696
C.1,4835,2415383707,11.795953311667542,44.62277754645648
C.1,4830,2415390781,12.336225982430939,76.37442334794977
C.1,4825,2415397673,12.661993992994265,47.26755812004154
C.1,4820,2415404567,12.658320655601461,0.5328310694523352
C.1,4815,2415411205,13.146499337107032,73.54303728616625
C.1,4810,2415417566,13.71898484510556,89.99929382149459
C.1,4805,2415423740,14.134509653339242,67.30236608903178
C.1,4800,2415429923,14.11393540347994,3.327551327721352
C.1,4795,2415435936,14.512965674325041,66.36126240563792
C.1,4790,2415441761,14.981366969908407,80.41223958512718
C.1,4785,2415447400,15.475520943379406,87.63149024135463
C.1,4780,2415453092,15.331423506626225,25.315782985450024
C.1,4775,2415458703,15.552746854342626,39.44454601967588
C.1,4770,2415464037,16.36041668536117,151.41916592023688
C.1,4765,2415469231,16.801398267176832,84.90211432723586
C.1,4760,2415474432,16.778785348916838,4.347802011150699
C.1,4755,2415479507,17.195362088614086,82.0840866398519
C.1,4750,2415484573,17.225910501325792,6.030085414865014
C.1,4745,2415489364,18.21466553949415,206.37759093474364
C.1,4740,2415494298,17.686757721872006,106.99388277708618
C.1,4735,2415499015,18.500416069475616,172.4948797124465
C.1,4730,2415503769,18.35642881777797,30.287600272958567
